date,league_id,team1,team2,prob1,prob2,probtie,pred538
8/11/17,2411,Arsenal,Leicester City,0.643,0.1563,0.2007,Home Win
8/12/17,2411,Watford,Liverpool,0.2193,0.5384,0.2423,Away Win
8/12/17,2411,Everton,Stoke City,0.5129,0.2283,0.2588,Home Win
8/12/17,2411,Southampton,Swansea City,0.5044,0.2296,0.266,Home Win
8/12/17,2411,Crystal Palace,Huddersfield Town,0.6,0.1606,0.2393,Home Win
8/12/17,2411,Chelsea,Burnley,0.7184,0.1011,0.1805,Home Win
8/12/17,2411,West Bromwich Albion,AFC Bournemouth,0.4246,0.3019,0.2735,Home Win
8/12/17,2411,Brighton and Hove Albion,Manchester City,0.1143,0.6987,0.1871,Away Win
8/13/17,2411,Newcastle,Tottenham Hotspur,0.1731,0.6044,0.2226,Away Win
8/13/17,2411,Manchester United,West Ham United,0.7051,0.0992,0.1957,Home Win
8/19/17,2411,Swansea City,Manchester United,0.1782,0.5796,0.2423,Away Win
8/19/17,2411,AFC Bournemouth,Watford,0.471,0.2673,0.2617,Home Win
8/19/17,2411,Burnley,West Bromwich Albion,0.4893,0.2304,0.2803,Home Win
8/19/17,2411,Leicester City,Brighton and Hove Albion,0.6063,0.1526,0.2411,Home Win
8/19/17,2411,Liverpool,Crystal Palace,0.6679,0.1321,0.2,Home Win
8/19/17,2411,Southampton,West Ham United,0.4937,0.2359,0.2704,Home Win
8/19/17,2411,Stoke City,Arsenal,0.2681,0.4873,0.2446,Away Win
8/20/17,2411,Huddersfield Town,Newcastle,0.4021,0.3064,0.2915,Home Win
8/20/17,2411,Tottenham Hotspur,Chelsea,0.4481,0.2988,0.2531,Home Win
8/21/17,2411,Manchester City,Everton,0.6746,0.1256,0.1998,Home Win
8/26/17,2411,AFC Bournemouth,Manchester City,0.1546,0.6423,0.2031,Away Win
8/26/17,2411,Watford,Brighton and Hove Albion,0.5617,0.1719,0.2664,Home Win
8/26/17,2411,Crystal Palace,Swansea City,0.4617,0.2655,0.2728,Home Win
8/26/17,2411,Newcastle,West Ham United,0.3593,0.364,0.2767,Away Win
8/26/17,2411,Huddersfield Town,Southampton,0.2768,0.4364,0.2868,Away Win
8/26/17,2411,Manchester United,Leicester City,0.7527,0.0744,0.1729,Home Win
8/27/17,2411,West Bromwich Albion,Stoke City,0.4028,0.2886,0.3086,Home Win
8/27/17,2411,Chelsea,Everton,0.6274,0.1564,0.2162,Home Win
8/27/17,2411,Tottenham Hotspur,Burnley,0.6729,0.1188,0.2083,Home Win
8/27/17,2411,Liverpool,Arsenal,0.44,0.3215,0.2386,Home Win
9/9/17,2411,Manchester City,Liverpool,0.5436,0.2212,0.2352,Home Win
9/9/17,2411,Everton,Tottenham Hotspur,0.297,0.4333,0.2697,Away Win
9/9/17,2411,Arsenal,AFC Bournemouth,0.7223,0.1073,0.1705,Home Win
9/9/17,2411,Southampton,Watford,0.5149,0.212,0.2731,Home Win
9/9/17,2411,Brighton and Hove Albion,West Bromwich Albion,0.3357,0.3388,0.3255,Away Win
9/9/17,2411,Leicester City,Chelsea,0.2283,0.5379,0.2339,Away Win
9/9/17,2411,Stoke City,Manchester United,0.1919,0.5488,0.2593,Away Win
9/10/17,2411,Burnley,Crystal Palace,0.5067,0.2276,0.2658,Home Win
9/10/17,2411,Swansea City,Newcastle,0.4649,0.252,0.2831,Home Win
9/11/17,2411,West Ham United,Huddersfield Town,0.5392,0.2017,0.2591,Home Win
9/15/17,2411,AFC Bournemouth,Brighton and Hove Albion,0.5031,0.2168,0.28,Home Win
9/16/17,2411,Crystal Palace,Southampton,0.391,0.316,0.293,Home Win
9/16/17,2411,Watford,Manchester City,0.1484,0.6394,0.2122,Away Win
9/16/17,2411,Newcastle,Stoke City,0.3605,0.344,0.2955,Home Win
9/16/17,2411,Liverpool,Burnley,0.6339,0.1497,0.2163,Home Win
9/16/17,2411,West Bromwich Albion,West Ham United,0.419,0.3002,0.2809,Home Win
9/16/17,2411,Huddersfield Town,Leicester City,0.2897,0.4276,0.2827,Away Win
9/16/17,2411,Tottenham Hotspur,Swansea City,0.7824,0.0598,0.1578,Home Win
9/17/17,2411,Chelsea,Arsenal,0.5506,0.229,0.2204,Home Win
9/17/17,2411,Manchester United,Everton,0.6978,0.1031,0.1991,Home Win
9/23/17,2411,West Ham United,Tottenham Hotspur,0.2028,0.556,0.2412,Away Win
9/23/17,2411,Southampton,Manchester United,0.1903,0.5579,0.2517,Away Win
9/23/17,2411,Manchester City,Crystal Palace,0.8554,0.0333,0.1113,Home Win
9/23/17,2411,Swansea City,Watford,0.4391,0.2733,0.2876,Home Win
9/23/17,2411,Stoke City,Chelsea,0.2171,0.5397,0.2432,Away Win
9/23/17,2411,Burnley,Huddersfield Town,0.572,0.1629,0.2651,Home Win
9/23/17,2411,Everton,AFC Bournemouth,0.537,0.2122,0.2508,Home Win
9/23/17,2411,Leicester City,Liverpool,0.2882,0.4617,0.25,Away Win
9/24/17,2411,Brighton and Hove Albion,Newcastle,0.3562,0.3351,0.3087,Home Win
9/25/17,2411,Arsenal,West Bromwich Albion,0.6835,0.1126,0.2039,Home Win
9/30/17,2411,Huddersfield Town,Tottenham Hotspur,0.1336,0.6407,0.2257,Away Win
9/30/17,2411,West Bromwich Albion,Watford,0.4213,0.2789,0.2998,Home Win
9/30/17,2411,Manchester United,Crystal Palace,0.8448,0.0345,0.1207,Home Win
9/30/17,2411,AFC Bournemouth,Leicester City,0.3648,0.372,0.2632,Away Win
9/30/17,2411,West Ham United,Swansea City,0.4835,0.246,0.2705,Home Win
9/30/17,2411,Stoke City,Southampton,0.4189,0.2864,0.2948,Home Win
9/30/17,2411,Chelsea,Manchester City,0.3615,0.3843,0.2542,Away Win
10/1/17,2411,Arsenal,Brighton and Hove Albion,0.8061,0.0522,0.1417,Home Win
10/1/17,2411,Everton,Burnley,0.471,0.2529,0.2761,Home Win
10/1/17,2411,Newcastle,Liverpool,0.2278,0.5251,0.2471,Away Win
10/14/17,2411,Liverpool,Manchester United,0.3102,0.4339,0.2559,Away Win
10/14/17,2411,Tottenham Hotspur,AFC Bournemouth,0.806,0.0515,0.1425,Home Win
10/14/17,2411,Manchester City,Stoke City,0.8492,0.0362,0.1146,Home Win
10/14/17,2411,Swansea City,Huddersfield Town,0.5134,0.1876,0.299,Home Win
10/14/17,2411,Burnley,West Ham United,0.4492,0.268,0.2828,Home Win
10/14/17,2411,Crystal Palace,Chelsea,0.1498,0.6394,0.2108,Away Win
10/14/17,2411,Watford,Arsenal,0.2227,0.5521,0.2252,Away Win
10/15/17,2411,Brighton and Hove Albion,Everton,0.2978,0.4087,0.2936,Away Win
10/15/17,2411,Southampton,Newcastle,0.4999,0.2146,0.2854,Home Win
10/16/17,2411,Leicester City,West Bromwich Albion,0.5163,0.2118,0.272,Home Win
10/20/17,2411,West Ham United,Brighton and Hove Albion,0.5538,0.1763,0.27,Home Win
10/21/17,2411,Chelsea,Watford,0.7637,0.0756,0.1607,Home Win
10/21/17,2411,Huddersfield Town,Manchester United,0.0884,0.7162,0.1954,Away Win
